Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
Agro Capital Management Corp. (OTCPK:ACMB),OTCPK:ACMB,Retail (Online),United States,United States,United States
"AgroFresh Solutions, Inc. (NasdaqGS:AGFS)",NasdaqGS:AGFS,Chemical (Specialty),United States,United States,United States
"AgTech Global International, Inc. (OTCPK:AGGL)",OTCPK:AGGL,Education,United States,United States,United States
AHAlife Holdings Limited (ASX:AHL),ASX:AHL,Retail (Online),United States,United States,United States
"Aileron Therapeutics, Inc. (NasdaqCM:ALRN)",NasdaqCM:ALRN,Drugs (Biotechnology),United States,United States,United States
Aim Exploration Inc. (OTCPK:AEXE),OTCPK:AEXE,Metals & Mining,United States,United States,United States
AIM ImmunoTech Inc. (AMEX:AIM),AMEX:AIM,Drugs (Biotechnology),United States,United States,United States
"Aimmune Therapeutics, Inc. (NasdaqGS:AIMT)",NasdaqGS:AIMT,Drugs (Biotechnology),United States,United States,United States
Aimrite Holdings Corporation (OTCPK:AIMH),OTCPK:AIMH,Business & Consumer Services,United States,United States,United States
Air Industries Group (AMEX:AIRI),AMEX:AIRI,Aerospace/Defense,United States,United States,United States
Air Lease Corporation (NYSE:AL),NYSE:AL,Retail (Distributors),United States,United States,United States
"Air Products and Chemicals, Inc. (NYSE:APD)",NYSE:APD,Chemical (Specialty),United States,United States,United States
"Air T, Inc. (NasdaqGM:AIRT)",NasdaqGM:AIRT,Transportation,United States,United States,United States
"Air Transport Services Group, Inc. (NasdaqGS:ATSG)",NasdaqGS:ATSG,Transportation,United States,United States,United States
"Airborne Security & Protective Services, Inc. (OTCPK:ABPR)",OTCPK:ABPR,Business & Consumer Services,United States,United States,United States
Aircastle Limited (NYSE:AYR),NYSE:AYR,Retail (Distributors),United States,United States,United States
"Airgain, Inc. (NasdaqCM:AIRG)",NasdaqCM:AIRG,Electronics (General),United States,United States,United States
Airspan Networks Inc. (OTCPK:AIRO),OTCPK:AIRO,Telecom. Equipment,United States,United States,United States
"Ajia Innogroup Holdings, Ltd. (OTCPK:AJIA)",OTCPK:AJIA,Business & Consumer Services,United States,United States,United States
AK Steel Holding Corporation (NYSE:AKS),NYSE:AKS,Steel,United States,United States,United States
"Akamai Technologies, Inc. (NasdaqGS:AKAM)",NasdaqGS:AKAM,Software (Internet),United States,United States,United States
"Akcea Therapeutics, Inc. (NasdaqGS:AKCA)",NasdaqGS:AKCA,Drugs (Biotechnology),United States,United States,United States
"Akebia Therapeutics, Inc. (NasdaqGM:AKBA)",NasdaqGM:AKBA,Drugs (Biotechnology),United States,United States,United States
Akerna Corp. (NasdaqCM:KERN),NasdaqCM:KERN,Business & Consumer Services,United States,United States,United States
"Akero Therapeutics, Inc. (NasdaqGS:AKRO)",NasdaqGS:AKRO,Drugs (Biotechnology),United States,United States,United States
"Akers Biosciences, Inc. (NasdaqCM:AKER)",NasdaqCM:AKER,Healthcare Products,United States,United States,United States
"Akorn, Inc. (NasdaqGS:AKRX)",NasdaqGS:AKRX,Drugs (Pharmaceutical),United States,United States,United States
